Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
51,3.2,8.6,0.4,65.3,1.8,20.7,0,0,0,0.03,0.06,0.8,0,0,170,6060.6,257,77,7.5,0.52,0.65,0.11,44,1.8,1
50,4.1,2.7,2.5,90,0,0.7,0,0,0,0.02,0.09,0.2,2,0,107,28.8,77,6,0.7,0,0.62,0.02,81,2.06,1
49,0.8,11.1,0.2,83.1,4,0.8,0,130,22,0.01,0.01,0.7,3,0,23,0,49,10,0.2,0.48,0.25,0,18,0.35,1
46,1.1,9.9,0.2,88,0.3,0.5,0,210,35,0.02,0.02,0.6,10,2.22,232,8,11,12,0.4,0.07,0.23,0.1,27,0.21,1
44,5.6,2.9,1.1,87.8,1.6,1,0,0,0,0.08,0.32,1.3,58,2.99,170,29.8,36,74,2.4,2.5,0.21,0.21,32,0.35,1
43,0.5,9.9,0.2,88.7,0.4,0.3,0,50,8,0.04,0.02,0.2,25,0.7,104,1.3,5,8,0.4,0.06,0.18,0.09,13,0.2,1
43,1.4,8.9,0.2,87.4,1.3,0.8,0,4010,668,0.04,0.04,0.2,16,0,193,25.1,32,7,0.5,0.07,0.22,0.03,16,2.8,1
41,0.5,9.5,0.1,88.4,1.3,0.2,0,200,33,0.04,0.02,0.2,18,0,113,0.8,12,8,0.6,1.04,0.14,0.07,9,0.24,1
29,2.9,3.6,0.3,90.3,2.3,0.6,0,250,42,0.07,0.09,1.4,19,4.39,112,2.2,27,31,0.5,0.37,0.54,0.14,63,0.74,1
28,2,4.2,0.4,91.3,1.5,0.6,0,210,35,0.04,0.07,0.4,6,1.24,123,8.6,42,27,1.5,0.18,0.23,0.11,51,0.43,1
22,1.5,3.6,0.2,93.2,1,0.5,0,70,12,0.03,0.03,0.4,40,0.5,124,27.2,49,12,0.6,0.18,0.25,0.04,26,0.96,1
22,0.7,4.5,0.1,93.5,0.8,0.4,0,890,148,0.03,0.04,0.4,8,0.36,145,0.8,16,8,0.4,0.08,0.14,0.03,24,0.46,1
21,1.7,3.1,0.2,93.6,0.6,0.8,0,250,42,0.06,0.07,0.8,47,0.92,130,89.3,69,12,0.5,0.21,0.21,0.03,30,0.33,1
21,1.9,2.7,0.3,93,1.2,0.9,0,1510,252,0.04,0.09,0.6,18,0.92,220,161.3,73,20,2.5,0.28,0.35,0.06,36,0.6,1
20,1.9,2.3,0.3,92.5,2.32,0.7,0,10,2,0,0.16,3.1,4,0.79,258,3.8,5,14,1,0.07,0.61,0.08,86,1.07,1
19,2.2,1.9,0.3,91.7,3.3,0.6,0,0,0,0,0.08,2,1,0,20,1.4,2,11,0.3,0.25,0.66,0.12,53,2.58,1
16,1.2,1.7,0.5,14.5,80.9,1.2,0,0,0,0,0.12,0.4,0,0,58,1,2,8,9.4,1.39,0.44,0.23,32,4.55,1
15,1.5,1.6,0.3,94.5,1.1,1,0,1680,280,0.02,0.09,0.7,28,0.7,178,73.5,90,18,1.9,0.27,0.51,0.08,36,1.17,1
14,0.7,2.7,0.1,95.3,0.8,0.4,0,40,7,0.02,0.01,0.4,11,0,87,0.6,16,7,0.4,0.08,0.14,0.04,15,0.49,1
358,9,73.5,3.1,11.6,1.6,1.2,0,100,17,0.33,0.1,1.5,0,3.63,284,4.3,41,107,5.1,0.89,1.87,0.54,229,4.74,0
409,44.6,18.6,17.4,16.5,0.2,2.7,0,0,0,0.31,0.11,1.5,0,20.63,536,9.4,116,111,30.8,3.51,3.81,1.86,318,0.48,0
352,12,76.1,0,0,10.2,1.7,0,0,0,0.48,0.14,0,0,1.91,0,107.4,0,0,5.9,3.49,3.51,0.34,436,4.05,0
324,9.3,66.5,2.3,13,6.5,2.4,0,20,3,0.28,0.16,2.2,0,4.4,401,4.7,47,258,6.2,2.04,3.62,0.56,297,2.45,0
316,21.6,55.6,0.8,12.3,6.4,3.3,0,130,22,0.25,0.11,2,0,10.95,787,3.2,81,125,6.5,1.11,2.18,1.08,337,4.28,0
242,6,47.1,3.3,19.2,15.9,8.5,0,0,0,0.09,0.51,9.2,1,1.61,132,20.5,234,256,78,3.47,2.42,0.77,88,11.08,0
208,6.8,36.5,3.9,9.6,31.1,12.1,0,700,117,0,0.4,0,0,4.69,135,17.5,0,0,4.3,5.15,1.64,2.08,22,0,0
199,19.4,27.2,1.4,40.3,7.7,4,0,1840,307,0.05,0.21,3.1,10,4.92,610,59.2,301,85,8.1,0.1,3.99,0.37,216,4.22,0
192,16.5,3.3,12.5,64.3,0.9,2.5,0,60,10,0.02,0.03,0.4,0,17.8,42,373.8,319,61,5.3,1.12,1.74,0.27,180,7.02,0
180,12.6,3.1,13,70.3,0,1,261,0,261,0.17,0.35,0.2,0,4.98,135,106,62,13,2.9,0.04,1.67,0.11,226,15.68,0
169,13.4,27,0.8,17.3,38.6,2.9,0,0,0,0.17,0.38,9.7,5,0,134,10.6,40,12,2.6,1.55,0.94,0.41,180,2.25,0
162,3.2,37.1,0.1,56.7,1.7,1.2,0,0,0,0.02,0.04,0.7,18,0,510,6.7,11,0,1,0.35,0.5,0.24,61,0.2,0
158,11.7,11.2,7.4,57.5,0,12.2,0,0,0,0.02,0.02,0,0,8.99,282,7410,62,111,22.5,2.01,3.06,0.32,320,1.51,0
140,23.5,11.4,0.01,63.5,0.9,0.6,0,0,0,0.1,0.07,1.1,0,0.65,69,15,76,26,4.2,0.86,1.76,0.5,133,1,0
140,16.2,10.7,3.6,65,0.8,3.5,0,0,0,0.03,0.07,0.3,0,0,140,76.5,308,102,4.9,1.31,1.76,0.77,273,0,0
134,17.9,7.4,3.6,69.7,0,1.4,20972,0,20972,0.21,1.75,22.1,0,29.93,241,123,8,14,7.5,0.26,3.45,4.51,299,17.68,0
130,11.6,3.1,7.9,66.4,0.8,10.2,0,120,20,0.02,0.09,0.6,0,9.18,96,2016.3,75,90,6.9,0.99,0.96,0.16,126,0,0
102,19.7,0.9,2.2,76.2,0,1,212,0,212,0.11,0.1,5.8,0,0.42,284,45.1,12,15,2,0.04,1.3,0.12,165,10.93,0
93,20.5,0,1.2,79.4,0,1,7,0,7,0.26,0.28,9,0,0.55,280,11.8,127,20,1.5,0.04,1.15,0.05,200,16.1,0
90,15,4,1.5,78.6,0,0.9,0,0,0,0.01,0.07,4.2,0,1.98,126,60.2,6,24,4.1,0.01,1.17,0.27,86,12.62,0
81,8.1,3.8,3.7,82.8,0.4,1.2,0,0,0,0.04,0.03,0.2,0,2.17,125,7.2,164,27,1.9,0.47,1.11,0.27,119,0.02,0
52,0.2,12.3,0.2,85.9,1.2,0.2,0,20,3,0.06,0.02,0.2,4,2.12,119,1.6,4,4,0.3,0.03,0.19,0.06,12,0.12,0
51,0.7,11.5,0.2,86.9,0.4,0.3,0,890,148,0.08,0.04,0.4,28,0.92,154,1.04,35,11,0.2,0.14,0.08,0.04,18,0.3,0
47,0.8,10.5,0.2,87.4,0.6,0.5,0,160,27,0.05,0.04,0.3,33,0.56,159,1.2,20,14,0.4,0.05,0.14,0.03,22,0.31,0
44,5.6,2.9,1.1,87.8,1.6,1,0,0,0,0.08,0.32,1.3,58,2.99,170,29.8,36,74,2.4,2.5,0.21,0.21,32,0.35,0
39,0.8,8.5,0.2,89.3,0.8,0.4,0,700,117,0.01,0.03,0.3,8,0.24,122,4,17,10,1.1,0.34,0.21,0.06,8,0.72,0
38,25.1,9,0.1,86.6,3.4,0.6,0,50,8,0,0.01,0.5,62,0,15,0,6,8,0.2,0.95,0.1,0,9,1.13,0
32,0.4,7.3,0.1,90,2,0.2,0,0,0,0.01,0.04,0.1,1,0,97,3.9,11,5,0,0,0,0.06,12,0.7,0
32,0.6,7,0.2,90.6,1.3,0.3,0,8050,1342,0.01,0.04,0.3,23,1.21,138,2.8,0,14,0.2,0.2,0.09,0.06,11,1.44,0
30,1,6,0.2,91.3,1.1,0.4,0,30,5,0.02,0.03,0.3,47,0.71,131,4.2,18,12,1.8,0.49,0.14,0.04,27,0.7,0
26,2.4,3.3,0.4,90.2,2.7,1,0,30,5,0.15,0.19,4.1,0,1.14,195,4.3,0,17,1.4,0.1,0.39,0.14,97,0.28,0
24,2.6,1.8,0.3,91.2,1.7,1.4,0,2920,487,0.04,0.11,0.6,32,1.74,311,85.2,66,58,29,0.66,0.85,0.1,47,0.97,0
23,1.2,4,0.2,92.2,1.9,0.5,0,30,5,0.02,0.03,0.5,5,0.99,209,5.8,4,8,0.4,0.31,0.33,0.06,36,0.45,0
23,1.8,2.7,0.5,92.9,1.1,1,0,620,103,0.04,0.11,0.7,36,0.88,210,55.8,108,22,1.2,0.23,0.33,0.06,39,0.79,0
21,1.1,3.6,0.2,93.4,1.3,0.4,0,50,8,0.02,0.04,0.6,5,1.13,142,5.4,24,13,0.5,0.13,0.23,0.1,2,0.48,0
20,2.7,2,0.1,92.4,2.1,0.7,0,10,2,0.08,0.35,4,2,0.56,312,8.3,6,11,1.2,0.11,0.92,0.49,94,0.55,0
20,0.8,4,0.1,93.9,0.6,0.6,0,20,3,0.02,0.06,0.6,18,1,178,60,56,11,0.3,0.09,0.13,0.03,34,0,0
20,1,3.6,0.2,94.3,0.6,0.3,0,90,15,0.02,0.04,0.4,5,0.22,115,2.6,14,11,0.4,0.06,0.21,0.06,29,0.86,0
19,25.1,1.8,0.2,92.8,1.8,0.8,0,0,0,0.08,0.08,0.6,5,0.05,389,0.4,9,1,0.5,1.14,0.33,0.09,64,0.04,0
19,2.8,1,0.4,93.2,1.6,1,0,3450,575,0.02,0.09,1,76,0.96,104,50.5,128,18,2,0.33,1.3,0.11,50,0.88,0
18,1.4,3,0.1,93,1.9,0.6,0,100,17,0.04,0.05,0.7,45,0,213,3.1,10,10,1.4,0.43,0.41,0.07,42,0.21,0
16,1.2,2.6,0.1,94.3,1.2,0.6,0,20,3,0.01,0.1,0.1,8,0,76,1,17,10,0.1,0.03,0.08,0.02,18,1.45,0
15,0.8,2.4,0.2,95.8,0.5,0.3,0,90,15,0.02,0.03,0.2,9,0.46,102,4.9,24,15,0.5,0.06,0.18,0.05,24,0.38,0
14,0.8,2.5,0.1,94.2,1.4,1,0,60,10,0.01,0.08,0.4,12,2.21,154,73.8,48,10,0.8,0.17,0.46,0.09,103,0,0
14,1,2.2,0.1,95.5,0.6,0.6,0,150,25,0.02,0.02,0.5,4,0.19,212,36.5,23,19,0.9,0.19,0.33,0.07,48,0.54,0
13,1.8,0,0.7,96.4,1.1,0.2,0,90,15,0.02,0.02,0.1,0,0.8,48,3,10,9,0.5,0.09,0.24,0.07,30,0.14,0
13,1.3,1.3,0.3,95.8,0.7,0.6,0,1790,298,0.03,0.06,0.4,13,1.02,170,32.8,34,18,0.9,0.13,0.27,0.03,27,1.15,0
12,0.5,2.4,0,96.1,0.7,0.3,0,100,17,0.04,0.02,0,5,0.29,96,0,14,7,0.6,0.05,0.09,0.03,27,0,0
11,0.4,1.9,0.2,96.6,0.7,0.2,0,80,13,0.01,0.01,0.3,18,0.08,78,1.8,19,8,0.2,0.03,0.07,0.07,12,0.22,0
10,1.9,0,0.8,97.8,0,0.6,0,0,6,0.04,0.02,0.4,0,10.46,107,2.8,18,28,0.9,0.25,0.49,0.26,5,2.26,0
131,25.1,0,9.8,78,0,1.6,0,0,0,0.11,0.19,2.8,0,0.96,259,130.7,30,10,1.9,0.03,0.99,0.32,294,12.65,0
314,5.4,72.9,0.1,15.6,0,6,0,0,0,0.06,0.2,3.3,0,14.84,141,380.8,167,15,2,0.04,1.94,0.12,209,15.19,0
250,1.8,60.2,0.2,33.8,2.6,1.4,0,290,48,0.01,0,0.5,0,0.63,339,6.4,54,21,2.7,0.31,0.23,0.14,55,0.83,0
246,22.8,36.8,0.8,10.5,21.9,7.2,0,0,0,0.23,0,0,0,21.7,108,103.3,975,132,99.3,3.51,1.67,0.72,66,7.45,0
207,25.1,22.5,1.1,12.7,21.6,15.4,0,1370,228,0.27,1.02,7.3,2,1.82,1796,710.5,264,105,54.9,4.32,2.47,1.68,350,7.22,0
205,12.1,35.7,1.5,15.5,29.9,5.3,0,100,17,0.01,0.44,2.5,0,11.34,757,48.5,247,152,97.4,8.86,3.18,0.32,292,3.72,0
171,14.2,4.5,10.7,68.4,0,2.2,215,0,215,0.06,0.18,0.1,0,3.05,152,542.7,63,13,3.3,0.06,1.48,0.12,165,25.24,0
128,23.2,0.8,3.6,71.3,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,20.1,0.1,4.6,74.1,0,1.1,28,0,28,0.06,0.25,2.2,0,1.42,526,115.8,5,41,5.1,0.03,12.26,0.15,367,3.73,0
112,19.8,5.4,1.2,72.6,0,1,0,0,0,0.05,0.08,0,0,0.12,351,70.1,2,19,3.9,0.12,3.73,0.14,116,0,0
91,1.4,20.8,0.2,75.8,1.2,0.6,0,60,10,0.02,0.04,0.7,8,0.24,256,0.8,7,43,0.4,0.65,0.18,0.14,28,0.87,0
90,14.4,5.9,1,77.7,0,1,32,0,32,0.12,0.34,9.1,0,0.53,189,85.8,57,16,1.5,0.04,2.55,0.06,92,0,0
85,19.5,0,1.2,78.7,0,1.6,26,0,26,0.02,0.14,2.5,0,0.97,313,48.8,152,33,0.7,0.06,0.8,0.05,232,24.57,0
71,0.4,17.1,0.1,80.6,1.4,0.4,0,120,20,0.02,0.02,0.3,30,1.12,151,0.8,9,19,0.2,0.5,0.08,0.06,23,0.24,0
70,1.9,15.2,0.2,80.5,1.2,1,0,20,2,0,0.03,0.3,44,0.73,243,44.2,39,19,1.4,1.3,0.23,0.11,58,0.39,0
63,5.6,9.9,0.1,67.3,0.2,16.9,0,0,0,0.05,0.13,1.7,0,0,337,5757,66,156,8.6,1.11,1.17,0.06,204,1.39,0
60,11,3.6,0.2,82,0,3.2,0,0,0,0.02,0.19,2.2,0.75,0.62,98,26,0,77,19.7,1.26,2.71,0.8,93,16.73,0
59,7.5,6,0.6,83.3,0,2.6,0,0,0,0,0.28,2,0.43,0.43,75,252.6,156,178,1.4,1.05,10.27,1.52,98,16.95,0
59,1.2,13.1,0.2,83.6,1.1,0.8,0,20,3,0.02,0.02,0.7,7,0.65,306,15.7,4,12,0.6,0.11,0.34,0.07,44,0.7,0
56,0.8,11.9,0.6,83.4,2.6,0.7,0,130,22,0.05,0.02,0.3,62,2.43,144,10,27,12,1.2,0.73,0.57,1.87,26,0.28,0
52,25.1,1.4,0.4,86.4,0,1.2,7,0,7,0.07,0.13,1.4,0.16,0.16,157,288.1,22,42,1.4,0.4,5.18,9,106,41.86,0
49,1.7,9.7,0.4,82.8,4.1,1.3,0,30,5,0.02,0.06,0,0,9.87,32,2,37,0,0.4,0.28,0.26,0.07,33,5.65,0
47,7,1.7,1.4,88.5,0,1.4,37,0,37,0.08,0.13,1.4,0.38,0.38,25,18.4,39,10,11.4,0.18,1.82,0.47,127,29.79,0
44,4.5,3,1.6,88.8,1.5,0.6,0,30,5,0.04,0.07,0.6,8,0.8,160,7.2,21,21,0.9,0.34,0.54,0.14,74,0.96,0
41,25.1,9.1,0.2,89,0.4,0.5,0,10,2,0,0.03,0.3,23,0,119,3,4,4,0.3,0.08,0.4,0.18,24,0.7,0
37,3.3,1.4,2,91.7,0.8,0.8,0,10,2,0.02,0.03,0.7,0,0.01,90,0,25,13,0.3,0.11,1.77,0.13,0,0.76,0
36,25.1,3.3,0.4,85.2,4.3,2,0,730,122,0.04,0.12,0.9,11,0.54,134,0.7,62,47,7.9,0.78,3.27,0.24,104,0.36,0
35,2.8,4.6,0.6,85.3,5.4,1.3,0,540,90,0.09,0.11,0.6,19,2.93,180,8.7,66,37,9.4,2.31,0.86,0.17,41,0.5,0
31,5.8,1.1,0.4,91,0,1.7,19,0,19,0.01,0.1,0.5,0.86,0.43,109,317.3,138,63,2.9,0.12,1.35,0.09,103,24.64,0
29,0.6,6.2,0.2,91.4,1.2,0.4,0,20,3,0.02,0.03,0.7,7,0,128,1.4,4,10,0.4,0.36,0.39,0.04,18,0.83,0
26,0.4,5.8,0.1,92.9,0.4,0.4,0,30,5,0.02,0.03,0.3,15,0.47,139,8.8,14,11,0.7,0.04,0.09,0.04,17,0.4,0
25,0.6,5.5,0.1,93.3,0.3,0.2,0,450,75,0.02,0.03,0.2,6,0.1,87,3.2,8,8,0.3,0.05,0.1,0.05,9,0.17,0
23,2.7,2.7,0.2,92.3,1.6,0.5,0,0,0,0.08,0.34,8,0,0.4,179,73,17,21,1.3,0.09,0.6,0.4,33,0.02,0
20,2.2,2.2,0.3,92.9,1.4,1,0,1520,253,0.03,0.08,0.8,25,1.09,243,94.3,99,29,2.3,0.67,0.39,0.1,38,1.2,0
19,1,3.5,0.1,93.4,1.4,0.6,0,100,17,0.03,0.03,0.4,56,0.85,256,2.5,14,18,0.7,0.16,0.36,0.06,35,0.36,0
18,0.6,3.5,0.2,95,0.4,0.3,0,20,3,0.02,0.01,0.2,12,0.03,136,1.6,20,15,0.5,0.03,0.1,0.03,14,0.63,0
17,1.2,1.6,0.1,94.4,0.5,2.2,0,0,0,0.02,0.15,1.3,0,1.85,246,8.6,46,25,0.9,0.07,0.16,0,22,9.54,0
0,0,0,0,0.1,0,99.9,0,0,0,0,0,0,0,0,14,25127.2,22,2,1,0.29,0.24,0.14,0,1,0
191,25.1,0,18.7,74.8,0,0.8,7,0,7,0.06,0.11,1.9,0,0.5,44,116.3,10,8,1,0.07,0.98,0.06,56,16.95,0
73,5.3,8.2,2.1,82,0,2.4,27,0,27,0.01,0.13,1.4,0.81,0.81,200,462.1,131,65,7.1,0.85,9.39,8.13,115,86.64,0
