Energe/kal,Protain/g,Suger/g,Fat/g,Water/g,Fiber/g,Ash/g,VA/mcg,Carotene/mcg,Retinol/mcg,VB1/mg,VB2/mg,VB3/mg,VC/mg,VE/mg,K/mg,Na/mg,Ca/mg,Mg/mg,Fe/mg,Mn/mg,Zn/mg,Cu/mg,P/mg,Se/mcg,tag
116,16.8,1.8,4.6,76,0,0.08,157,0,157,0.34,0.2,3.5,0,1.4,140,47.4,52,14,2.9,0.13,3.18,0.14,107,14.75,2
122,25.1,28.6,0.3,67.4,1.9,0.7,0,240,40,0.06,0.09,0.9,243,0.78,375,1.2,22,25,1.2,0.32,1.52,0.06,23,0.8,2
126,4.5,26.5,0.2,66.6,1.1,1.1,0,30,5,0.04,0.06,0.6,7,1.07,302,19.6,39,21,1.2,0.28,0.88,0.22,117,3.09,2
127,17.7,3.1,4.9,73.3,0,1,29,0,29,0.02,0.06,2.8,0,0.82,280,150.1,28,43,1.2,0.17,0.7,0.08,191,36.57,2
129,25.1,5,3.5,70.7,0,1.5,4972,0,4972,0.21,2.08,15,20,0.86,235,68.6,6,24,22.6,0.26,5.78,0.65,310,19.21,2
135,18.3,1.2,6.3,73.1,0,1.1,28,0,28,0.02,0.07,1.7,0,0.52,215,41.1,89,17,0.7,0.05,0.89,0.07,188,11.59,2
142,11.3,0.1,10.7,76.3,0,1.6,0,0,0,0.17,0.27,3.5,0,0,146,151.8,61,15,0,0,1.24,0,356,38.12,2
143,29.7,4.3,0.8,60.4,0,4.8,0,0,0,0,0,0,0,0.57,152,698.1,51,184,6.8,0.16,5.28,0.11,48,15.09,2
149,12.5,0.1,11,75.1,0,1.3,0,0,0,0.15,0.25,4,0,0,300,185.6,583,20,4.7,0.08,4.69,0.28,435,20.34,2
169,10.9,18.6,5.7,12.7,43.3,8.8,0,0,0,0,0.31,0,0,3.65,87,7.5,75,0,0.5,36,4.99,0.62,8,12.6,2
185,4.2,40.5,0.7,52,1.7,0.9,0,190,32,0.14,0.17,0.8,24,4.56,442,13.9,17,50,1.1,1.53,0.57,0.4,89,1.13,2
195,3.8,32.4,5.6,11.8,43,3.4,0,40,7,0.12,0.28,0.9,0,1.11,202,14.7,41,68,6.3,7.42,0.62,0.63,64,3.08,2
196,11.1,2.8,15.6,69.3,0,1.2,192,0,192,0.08,0.3,0.4,0,4.5,74,90.6,34,12,4.1,0.04,1.43,0.09,130,27.24,2
208,8.1,40.4,1.5,13.3,28.6,8.1,0,0,0,0.02,0.11,2.3,0,0.42,21.6,21.6,80,232,0.6,22.96,6.07,1.29,67,4.2,2
220,4.6,39.4,4.9,12,23.9,15.2,0,852000,142000,0.09,0.39,3.9,0,3.38,54,36,312,178,29.1,2.88,2.15,2.31,101,12.31,2
230,21.5,6.7,13,57.5,0,1.3,0,0,0,0.07,2.23,2.2,0,9.89,272,140.2,81,103,2.6,0.64,6.17,0.53,207,11.1,2
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,2
251,14.5,21.6,11.8,8.9,33.9,9.3,0,320,53,0.04,0.36,7.1,0,0.7,1104,79.6,751,336,0.9,3.14,3.46,1.76,336,1.98,2
258,6.7,37.8,8.9,11,28.7,6.9,0,140,23,0.12,0.43,1.6,0,2.47,204,47.4,639,111,8.4,3.33,1.9,1.02,69,1.96,2
262,50.2,4.5,4.8,18.9,0,21.6,39,0,39,0.04,0.13,1.3,0,0,356,4967.8,0,1047,9,0.43,2.24,0.27,94,150,2
273,5,62.8,0.2,26.9,2,3.1,0,0,0,0,0.39,1.3,12,0,1348,3.3,38,81,0.7,0.3,0.55,1.28,206,12.4,2
273,9.1,46.3,5.7,14.9,17.7,6.3,0,0,0,0,0.1,0,0,0.01,0,9.9,62,0,0,10.65,2.3,0.96,22,3.1,2
277,23.8,0,20.2,59.6,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
278,8,58.3,1.4,8.3,20.7,3.3,0,2100,350,0,0.44,2.1,7,6.73,186,21,82,113,9.3,0.74,1,0.81,85,4.4,2
324,8.9,68.8,1.5,11.9,5.3,3.6,0,0,0,0.35,0.54,1,1,1.93,100,27.4,3,19,4.4,0.73,0.8,0.63,118,3.4,2
330,16,4.9,27.4,47.9,0,3.8,46,0,46,0.28,0.09,8.6,0,0.8,220,1086.7,3,20,2.2,0.04,2.16,0.08,90,2.95,2
342,9.7,72.5,1.5,11.1,4.4,0.8,0,0,0,0.09,0.13,1.3,0,4.61,0,3.3,0,0,0,0.23,2.07,0.41,0,0,2
343,8.3,73.7,1.7,13.8,1.4,1.1,0,0,0,0.31,0.12,4.2,0,1.36,219,4,13,16,3.9,2.37,2.16,0.29,183,2.88,2
348,7.3,77.5,1,12.6,0.8,0.8,0,0,0,0.11,0.04,2.3,0,1.29,137,1.5,26,49,1.4,1.54,1.54,0.25,113,2.71,2
351,10.4,70.4,3.1,10.3,4.3,1.5,0,0,0,0.29,0.1,1.6,0,1.88,281,6.3,22,129,6.3,1.22,1.64,0.33,329,2.83,2
359,0.3,50.7,17.2,9.1,16.7,6,0,0,0,0,0.07,0,0,4.27,47,122.1,137,0,0.2,0,1.01,0.76,10,12.6,2
389,0.7,96.6,0,1.9,0,0.8,0,0,0,0.01,0,0.3,0,0,240,18.3,157,54,2.2,0.27,0.35,0.15,11,4.2,2
476,23.6,28.1,29.9,7.2,7.2,4,0,190,32,0.17,0.38,4.83,0,9.83,366,7.8,656,321,17.2,3.05,3.62,0.63,530,69.01,2
627,14.9,9.6,58.8,5.2,9.5,2,0,30,5,0.15,0.14,0.9,1,43.21,385,6.4,56,131,2.7,3.44,2.17,1.17,294,4.62,2
698,13.4,2.2,70.6,0.8,10,3,0,10,2,0.19,0.25,4,0,32.79,502,10.1,78,116,4.3,6.01,4.61,0.95,569,0.74,2
898,25.1,0.2,99.7,0.1,0,0,0,0,0,0,0,0,0,68.53,0,1.1,9,3,2.2,0.76,0.17,0.05,4,8.41,2
899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,93.08,3,4.9,13,3,2,0.43,1.09,0.16,7,3.32,2
899,0,0,99.9,0.1,0,0.1,0,0,0,0,0,0,0,42.06,1,3.5,12,2,2.9,0.33,8.48,0.15,15,2.29,2
899,0,0,99.9,0.1,0,0,0,0,0,0,0,0,0,27.9,2,0.7,5,2,1.1,1.17,0.34,0.03,8,2.8,2
899,0,0.1,99.8,0.1,0,0,0,0,0,0,0,0,0,86.45,1,4.5,17,1,2,0,0.74,0.08,16,1.35,2
121,16.6,2.8,4.8,74.4,0,1,10414,0,10414,0.33,1.1,11.9,0,1.88,222,92,7,16,12,0.24,2.4,0.32,263,38.55,2
35,1.1,4.9,1.2,91,1.3,0.5,0,0,0,0.05,0.02,0.6,22,1.14,209,1.1,101,37,0.8,0.05,0.65,0.14,22,0.5,2
95,0.5,22,0.6,73,3.1,0.8,0,100,17,0.02,0.02,0.4,53,7.32,299,5.4,52,19,0.9,0.24,0.28,0.11,24,1.22,2
720,2.5,0.7,78.6,18,0,0.2,1042,0,1042,0,0.05,0.1,0,66.01,2,29.6,1,0,0.7,0,0.12,0,0,1.8,1
597,23.9,13,49.9,2.4,6.1,4.7,0,30,5,0.36,0.2,4.8,0,34.53,562,5.5,72,264,5.7,1.95,6.03,2.51,238,1.21,1
566,33.2,0,48.1,9.2,4.9,4.6,0,0,0,0.23,0.09,1.8,0,13.25,102,20.6,16,2,1.5,0.64,2.57,1.11,1159,2.78,1
531,25.1,10,46.1,5.7,14,5.1,0,0,0,0.66,0.25,5.9,0,50.4,358,8.3,780,290,22.7,17.85,6.13,1.77,516,4.7,1
514,24.7,2.9,44.8,5.6,19.2,2.8,0,0,0,0.08,1.25,0,26,18.53,106,7.1,71,0,1.3,0.61,3.64,0.81,27,15.65,1
483,25.1,0,42.7,4.9,24,3.7,0,0,0,0.08,0.71,0,0,28.67,5.2,5.2,111,0,0.5,1.27,2.96,0.47,32,1.28,1
400,0,99.9,0,0,0,0.1,0,0,0,0,0,0,0,0,5,0.4,20,3,0.6,0.09,0.06,0.04,8,0,1
397,0,99.3,0,0.6,0,0.1,0,0,0,0.03,0.03,0,0,0,1,2.7,23,2,1.4,0,0.21,0.03,0,0,1
395,25.1,2.4,37,46.8,0,0.6,114,0,0,0.22,0.16,3.5,0,0.49,204,59.4,6,16,1.6,0.03,2.06,0.06,162,11.97,1
