name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,GLYCEMIC_LOAD:,Completeness Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Dietary Fiber:,Sugars:,Total Fat:,Saturated Fat:,Monounsaturated Fat:,Polyunsaturated Fat:,Protein:,Vitamin A:,Vitamin C:,Thiamin:,Riboflavin:,Niacin:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Cholesterol:,Alcohol:,Water:,Ash:,
Babyfood. fruit. applesauce and cherries. strained,2.9,3.1,38.381,37.747,30.693,4.3893,39,63.99,60.804,1.9794,1.2,1.4002,11.6,0.21997,0.040995,0.008,0.078994,0.29998,2049.8,6.4,0.010001,0.020003,0.1,8.0012,0.19999,5.9998,17.001,148.99,1.9999,0.1,0,0,84,0.29998,0
Babyfood. juice. apple - cherry,3.4,2.3,34.641,27.952,20.118,2.2351,25,46.994,46.156,0.83709,0,0.1,10.701,0.1,0.018,0.002,0.031002,0,18.001,57.906,0.006999,0.016001,0.082996,3.9998,0.56992,3.0001,5.0006,90.995,3.0001,0.03,0,0,88.005,0.19999,0
Babyfood. juice. apple and cherry,3.5,3,42.434,36.545,23.894,2.1729,32,45.993,44.855,0.89991,0.23999,0.39997,8.9996,0.1,0.018,0.005,0.032004,0.059997,0,21.199,0.020003,0.020003,0.080002,127.01,0.19999,5.9998,8.0012,91.994,3.0001,0.03,0,0,88.288,0.47993,0
Back Yard Burgers dessert: Cherry Cobbler,3.4,2.4,35.133,28.527,20.471,2.735,23,46.994,45.289,0.89991,0.79998,0.29998,10.5,0.1,0.020003,0,0.03,0.19999,18.001,32.095,0.010001,0.020003,0.11001,7.0002,0.35004,3.0001,12.001,109.98,3.9998,0.03,0,0,88.203,0.35999,0
Burger King beverage: Frozen Minute Maid® Cherry,3.4,3.4,44.804,40.739,26.882,3.0367,38,48.001,45.904,0.89991,1.2,0.49995,9.5999,0.1,0.03,0.010001,0.050004,0.29998,3081.4,34.104,0.010001,0.03,0.1,14.999,0.29998,7.0002,13.998,137.01,5.0006,0.080002,0,0,87.892,0.28999,0
Cake. cherry fudge with chocolate frosting,3.7,2.4,37.098,28.778,17.721,1.8598,26,40.996,38.993,1.6737,0.33601,0.1,8.9794,0.19999,0.034994,0.011002,0.059997,0.1,5.0006,58.298,0.008,0.015,0.093993,5.0006,0.65999,3.0001,5.9998,98.004,3.0001,0.03,0,0,89.487,0.29998,0
Candies. TWIZZLERS CHERRY BITES,3.5,2.3,34.705,27.337,18.794,2.4515,23,45.993,43.985,1.6737,0.33601,0.1,10.899,0.19999,0.039995,0.009,0.059006,0.1,3.9998,31.503,0.006999,0.020997,0.10901,5.9998,0.39005,5.9998,5.0006,90.006,3.0001,0.039995,0,0,88.09,0.25997,0
Candies. TWIZZLERS NIBS CHERRY BITS,3.6,2.5,37.917,30.345,19.601,2.4355,27,43.006,41.5,0.83709,0.67199,0.1,9.5906,0.1,0.018,0.002,0.031002,0.19999,62.99,58.504,0.008,0.011002,0.21298,3.0001,0.55992,3.0001,3.9998,97.002,1,0.03,0,0,89,0.29998,0
Cherries. sour. red. canned. extra heavy syrup pack. solids and liquids,3.4,2.5,35.982,29.527,21.076,2.8615,26,48.998,48.668,0,0.33601,0.1,11.54,0,0,0,0,0.1,43.006,58.204,0.020003,0.017002,0.19501,5.0006,0.62005,3.0001,3.0001,101.01,1,0.03,0,0,87.301,0.29998,0
Cherries. sour. red. canned. heavy syrup pack. solids and liquids,2.7,2.4,29.999,28.341,26.7,5.8936,24,71.997,70.486,0.83709,0.67199,0.1,10.581,0.1,0.018,0.006001,0.031002,0.19999,15.999,67.495,0.005,0.002,0.30104,8.9996,0.94987,7.0002,14.999,147.99,5.0006,0.050004,0,0,81.292,0.29998,0
Cherries. sour. red. canned. light syrup pack. solids and liquids,3.6,3.3,45.436,39.424,24.15,2.8884,30,43.006,39.995,1.6737,1.3438,0.42806,7.1191,0.19999,0.015117,0.009625,0.044871,0.39997,72.998,76.897,0.038004,0.027996,0.18501,9.9997,0.19999,5.0006,7.0002,137.98,3.0001,0.03,-0.004942,0,88.914,0.39997,0
