name:,Fullness Factor:,ND Rating:,Weight loss:,Optimum health:,Weight gain:,GLYCEMIC_LOAD:,Completeness Score:,Calories:,Calories From Carbohydrate:,Calories From Fat:,Calories From Protein:,Dietary Fiber:,Sugars:,Total Fat:,Saturated Fat:,Monounsaturated Fat:,Polyunsaturated Fat:,Protein:,Vitamin A:,Vitamin C:,Thiamin:,Riboflavin:,Niacin:,Calcium:,Iron:,Magnesium:,Phosphorus:,Potassium:,Sodium:,Zinc:,Cholesterol:,Alcohol:,Water:,Ash:,
Lotus root. raw,4.3,4.6,62.503,55.568,20.21,1.3973,57,32.002,28.143,2.5109,1.3438,1.0999,12.916,0.29998,0.068005,0.082004,0.089991,0.39997,767.02,1677.5,0.020003,0.059997,0.39997,12.001,0.19999,18.001,11.001,146.01,7.0002,0.1,0,0,91.405,0.19999,2
Balsam-pear (bitter gourd). leafy tips. raw,1.6,1.1,9.7521,12.988,21.218,20.956,9,280.91,161.82,101.14,17.978,2.2474,16.854,11.237,3.3713,3.7957,1.1633,4.4946,112.38,2.6965,0.0417,0.098905,0.65509,0,1.2136,9.7002,56.336,134.6,224.7,0.34565,0,0,48.101,0.31201,2
Balsam-pear (bitter gourd). pods. raw,1.5,0.9,7.3216,10.814,19.624,41.047,12,405.01,259.48,127.09,18.482,1.9999,31.311,14.12,5.5706,4.5004,1.09,4.6205,51.005,0,0.26997,0.23999,2.0297,24.997,2.2896,11.1,62.737,137.98,347.02,0.15265,21.003,0,15.009,1.4999,2
Purslane. cooked. boiled. drained. without salt,2.6,1.6,22.366,19.576,20.936,6.9638,15,77.992,75.891,0.89991,1.2,0.19999,10.389,0.1,0.020003,0.020003,0.03,0.29998,31.001,9.2994,0.010001,0.010001,0.059997,5.0006,0.1,1.9999,5.9998,44.999,43.006,0.050004,0,0,79.791,0.18998,2
Purslane. cooked. boiled. drained. with salt,2.8,1.5,22.353,17.954,18.178,5.253,15,69.008,66.377,1.7797,0.86001,0.29998,16.979,0.19999,0.057993,0.070006,0.036003,0.19999,260.98,1.0999,0.006999,0.011002,0.038004,5.0006,0.17,1.9999,7.0002,33.005,14.999,0.03,9.9997,0,81.005,0.19999,2
Purslane. raw,2.8,1.6,23.091,18.828,18.858,4.9836,16,67.995,64.464,2.6698,0.86001,0.29998,9.1512,0.29998,0.087001,0.10499,0.053005,0.19999,260.98,1.0999,0.008,0.011002,0.038004,5.0006,0.18998,1.9999,7.0002,33.995,15.999,0.039995,9.9997,0,81.501,0.19999,2
Fish. herring eggs on giant kelp. Pacific (Alaska Native),3.3,2.8,38.438,33.35,24.268,2.3811,30,51.005,51.005,0,0,1.0999,10.609,0,0,0,0,0,44.999,42.8,0.010001,0.03,0.13998,1,0.29998,3.9998,8.0012,132,1,0.03,0,0,85.607,0.29998,2
Seaweed. kelp. raw,3.3,2.8,38.524,33.458,24.328,2.3811,30,51.005,51.005,0,0,1.0999,10.812,0,0,0,0,0,44.999,42.8,0.010001,0.03,0.13998,1,0.29998,3.9998,8.0012,132,1,0.03,0,0,85.634,0.25002,2
Seaweed. agar. dried,3.4,2.4,35.133,28.527,20.471,2.735,23,46.994,45.289,0.89991,0.79998,0.29998,10.5,0.1,0.020003,0,0.03,0.19999,18.001,32.095,0.010001,0.020003,0.11001,7.0002,0.35004,3.0001,12.001,109.98,3.9998,0.03,0,0,88.203,0.35999,2
Seaweed. agar. raw,3.7,2.4,37.098,28.778,17.721,1.8598,26,40.996,38.993,1.6737,0.33601,0.1,8.9794,0.19999,0.034994,0.011002,0.059997,0.1,5.0006,58.298,0.008,0.015,0.093993,5.0006,0.65999,3.0001,5.9998,98.004,3.0001,0.03,0,0,89.487,0.29998,2
Seaweed. irishmoss. raw,1.6,0.5,4.5182,6.2492,14.923,20.838,3,256.99,147.52,100.56,8.9362,0.55866,21.786,11.172,3.3519,0.026314,0.057963,2.2344,111.73,0,0.080622,0.1589,0.4237,0,0,9.0811,61.755,165.9,217.87,0.34964,5.5868,1.05,76.291,0.33353,2
Seaweed. kelp. raw,2.5,1.1,16.602,13.428,16.602,7.0298,0,83.489,83.489,0,0,0,20.962,0,0,0,0,0,0,0,0.040937,0.050373,0.86319,0,0,4.1581,46.746,71.042,0,0.29066,0,0,61.406,0.51707,2
Seaweed. laver. raw,1.6,1.4,12.333,16.462,24.416,19.158,25,264.02,144.65,110.02,9.3593,1.2,32.941,12.501,5.0653,4.4003,2.3402,2.3996,440,13.599,0.03,0.18998,0.70001,48.001,1.0999,19,105.01,165.97,224.99,0.27998,41.996,0,46.097,1,2
Seaweed. spirulina. dried,1.5,1.6,13.235,18.899,27.13,56.029,3,338,310.82,15.301,11.883,0.1,28.865,1.7003,0.25002,0.49007,0.039995,2.9704,0,0,0.1663,0.10681,1.0208,12.001,0.54992,7.7997,46.994,13.998,260.98,0.026884,0,0,14.999,0.79001,2
Seaweed. spirulina. raw,1.4,1,7.0112,11.448,20.624,55.365,2,347.02,314.03,23.76,9.2013,0.60003,51.351,2.64,0.53993,1.8802,0.13998,2.3,0,0,0.16267,0.18899,0.95194,8.0012,0.27998,16.653,23.998,37.003,195.02,0.36893,0,0,14.999,0.56992,2
Seaweed. wakame. raw,2.2,3.2,32.007,38.31,37.832,12.461,26,114.01,110.87,0.75328,2.3858,0.79998,28.189,0.089991,0.020997,0.024996,0.027996,0.70999,696.11,1.9003,0.016001,0.038004,0.16301,9.9997,1.2601,5.0006,8.9996,90.995,7.0002,0.059997,0,0,69.721,0.23999,2
Mushrooms. straw. canned. drained solids,2.4,2.9,31.685,34.469,33.512,8.9375,32,90.995,87.694,0.83709,2.4527,1.0999,22.167,0.1,0.020997,0.026001,0.029001,0.7299,714,1.9999,0.016001,0.038994,0.16798,9.9997,1.3,5.9998,9.9997,93.004,7.0002,0.059997,0,0,75.648,0.25002,2
Beans. kidney. mature seeds. sprouted. cooked. boiled. drained. without salt,2.7,3.8,40.596,45.019,36.304,7.0192,36,74.995,71.674,0.83709,2.4868,0.79998,16.445,0.1,0.022002,0.026001,0.029001,0.74007,726.03,1.9999,0.016001,0.038994,0.17,9.9997,1.3198,5.9998,9.9997,94.997,7.0002,0.070006,0,0,79.612,0.25002,2
Beans. kidney. mature seeds. sprouted. cooked. boiled. drained. with salt,4,4.2,56.843,50.74,23.115,2.5914,60,35.995,32.573,0.83709,2.587,1.0999,7.6003,0.1,0.022998,0.026999,0.03,0.76994,754.07,2.1,0.017002,0.040995,0.17701,11.001,1.3699,5.9998,9.9997,98.004,7.0002,0.070006,0,0,89.92,0.25997,2
Beans. kidney. mature seeds. sprouted. raw,3.5,3.8,49.099,45.842,27.678,3.3731,52,45.993,39.219,3.6828,3.0911,1.6,9.0198,0.43997,0.1,0.11999,0.13201,0.9201,869.95,1.7003,0.043998,0.034002,0.13702,13.001,0.52994,8.9996,15.999,123.98,1,0.1,0,0,87.189,0.42004,2
Beans. mung. mature seeds. sprouted. canned. drained solids,3.4,4,49.163,47.635,29.367,3.9064,54,49.999,44.126,2.5109,3.3605,1.6,8.4912,0.29998,0.068005,0.082004,0.089991,1,1282.8,9.9997,0.03,0.039995,0.39997,15.999,0.31995,8.9996,14.999,173,3.0001,0.1,0,0,86.131,0.39997,2
Beans. navy. mature seeds. sprouted. cooked. boiled. drained. without salt,2.3,3,31.552,35.786,35.284,10.127,24,101.99,98.762,1.2556,1.9826,1.4999,9.4569,0.15001,0.033005,0.039995,0.045006,0.59008,151.02,3.5997,0.020997,0.038994,0.38805,8.9996,0.35004,8.0012,17.001,141.98,3.0001,0.1,0,0,72.67,0.36998,2
Beans. navy. mature seeds. sprouted. cooked. boiled. drained. with salt,3.2,3.3,42.312,39.633,28.533,4.5579,43,54.007,50.776,0.16744,3.0576,1.4999,12.31,0.020003,0.004,0.005,0.006001,0.9101,124.98,2.5004,0.018,0.023997,0.40594,13.998,0.57991,12.001,21.997,130.99,3.0001,0.1,0,0,84.949,0.31,2
Beans. navy. mature seeds. sprouted. raw,2.8,2.9,35.355,34.586,29.871,5.5097,38,66.998,63.703,1.2556,2.0493,1.4999,15.79,0.15001,0.034002,0.042005,0.046007,0.60996,157,3.7006,0.020997,0.040995,0.40295,8.9996,0.35999,8.9996,18.001,147.99,3.0001,0.1,0,0,81.553,0.38001,2
Beans. pinto. mature seeds. sprouted. cooked. boiled. drained. without salt,2.6,2.8,32.634,33.162,30.845,7.2262,34,83.007,78.798,1.7575,2.4527,2.3,16.18,0.20998,0.040995,0.048998,0.055001,0.7299,237.01,3.5997,0.022002,0.042997,0.396,9.9997,0.35004,8.9996,20.002,147.99,3.0001,0.1,0,0,77.617,0.39005,2
Beans. pinto. mature seeds. sprouted. cooked. boiled. drained. with salt,2.5,2.5,29.651,30.11,29.651,7.507,28,83.007,79.74,1.2556,2.016,1.4002,16.18,0.15001,0.034002,0.040995,0.045006,0.60003,154.01,3.5997,0.020997,0.039995,0.396,8.9996,0.35004,8.9996,18.001,144.98,3.0001,0.1,0,0,77.617,0.38001,2
Beans. pinto. mature seeds. sprouted. raw,3.5,3.4,46.105,41.383,26.059,3.4219,47,45.993,42.321,1.0879,2.587,1.4999,10.26,0.12998,0.027996,0.034002,0.038004,0.76994,160.01,2.2002,0.022002,0.040995,0.41002,11.001,0.35999,8.9996,14.999,130.99,1,0.080002,0,0,87.049,0.28999,2
Mung beans. mature seeds. sprouted. cooked. boiled. drained. without salt,2.5,2.3,28.083,27.926,28.083,8.6845,28,89,84.054,1.0879,3.8646,2.1,20.261,0.12998,0.03,0.036003,0.039995,1.1501,188.97,1,0.026999,0.046999,0.17701,12.001,0.35004,9.9997,15.999,199.01,1,0.039995,0,0,75.526,0.83012,2
Mung beans. mature seeds. sprouted. cooked. boiled. drained. with salt,3,3.1,39.216,37.666,29.635,5.2779,40,62.99,57.757,1.6737,3.5617,2.1,12.818,0.19999,0.038004,0.046999,0.052008,1.0599,63.99,7.0002,0.026999,0.033005,0.15399,13.001,0.35999,11.001,21.003,221.97,0,0.070006,0,0,82.237,0.47993,2
Mung beans. mature seeds. sprouted. cooked. stir-fried,1.7,0.7,7.3973,8.9573,17.032,13.221,11,231.74,100.75,117.89,13.097,0,22.167,13.097,8.313,0.085336,0.9593,3.2742,503.72,0.90688,0.044434,0.084725,0.84674,113.36,0,7.8684,46.099,109.62,57.943,0.1342,51.632,0,52.35,0.89978,2
Mung beans. mature seeds. sprouted. raw,1.3,1.1,7.2768,12.907,22.391,63.245,0,380.9,380.9,0,0,0,76.184,0,0,0,0,0,0,0,0.035182,0.10655,1.0494,0,0,13.227,40.187,119.06,142.85,0.48723,0,0,32.509,0.82748,2
Beans. mung. mature seeds. sprouted. canned. drained solids,1.5,2.1,17.117,24.67,32.349,36.647,3,238.07,238.07,0,0,0,0,0,0,0,0,0,0,5.7138,0.13991,0.17865,0.72054,0,0,10.316,112.98,163.83,0,0.87403,0,2.5601,48.205,0.62916,2
Mung beans. mature seeds. sprouted. cooked. boiled. drained. without salt,3.5,1.1,22.07,13.428,9.2867,2.4509,0,46.468,46.468,0,0,0,11.86,0,0,0,0,0,0,0,0.014939,0.059191,1.6481,0,0,3.79,104.26,112.13,10.257,0.14353,0,1.03,76.72,0.40685,2
Mung beans. mature seeds. sprouted. cooked. boiled. drained. with salt,2.2,0.8,11.484,9.6693,15.166,6.8401,12,115.71,57.203,50.435,8.0709,0,12.781,5.6047,3.587,0.017114,0.21292,2.018,325.11,0.94165,0.088477,0.051109,1.3491,53.816,0,8.8232,41.445,130.09,29.819,0.30516,34.082,4.1803,69.747,0.88495,2
Mung beans. mature seeds. sprouted. cooked. stir-fried,2,1.5,16.424,17.66,23.331,16.269,5,128.57,128.57,0,0,0,28.571,0,0,0,0,0,0,4.2859,0.04602,0.05744,0.35346,0,0,9.8315,36.465,143.97,7.1433,0.28286,0,0,62.525,1.2256,2
Mung beans. mature seeds. sprouted. raw,1.8,2,19.541,24.26,30.24,17.199,20,200.55,136.4,48.809,15.345,3.0137,12.63,5.424,1.1235,0.75707,0.7096,3.8362,123.27,55.895,0.098788,0.04866,0.26143,2.7393,1.0357,10.195,71.795,175.36,274.04,0.6238,5.398,0,57.809,0.87136,2
STOUFFER'S LEAN CUISINE Chicken and Vegetables with Vermicelli. frozen entree,1.5,1.6,13.848,19.779,27.935,27.418,19,312.02,183.94,114.53,13.521,2.4357,9.4195,12.868,6.1758,4.6205,1.4261,3.38,547.95,1,0.22998,0.23999,2.5101,21.003,1.4502,9.9997,20.002,140.98,286,0.53993,5.0006,0,35.627,0.85011,2
Vermicelli. made from soy,4.5,2.4,40.65,29.23,9.8485,0,20,21.003,21.003,0,0,0,1.5198,0,0,0,0,0,0,10.399,0.12326,0.12412,1.3367,0,0.67004,1,0,11.001,9.9997,0.46999,0,0,94.026,0.059997,2
Seaweed. agar. dried,2.4,3.5,35.731,41.507,37.774,10.045,31,98.004,91.728,1.5067,4.7714,1.9003,12.961,0.18,0.024996,0.034002,0.077998,1.4202,322,74.995,0.017002,0.034994,0.39702,7.0002,0.27998,5.9998,12.001,130.99,3.0001,0.050004,0,0,73.729,0.43003,2
Seaweed. agar. raw,2.5,2.9,32.92,34.956,32.92,8.0761,22,88.005,86.103,0.58591,1.3105,1.0999,11.124,0.070006,0.010001,0.012998,0.03,0.39005,201,1.9003,0.018,0.019002,0.36796,5.9998,0.27998,5.0006,11.001,85.993,5.9998,0.080002,0,0,76.43,0.21997,2
Seaweed. irishmoss. raw,3.5,4,50.116,47.553,28.194,2.8127,47,44.999,43.076,0.58591,1.3438,1.0999,6.5019,0.070006,0.010001,0.013999,0.031002,0.39997,233,3.0001,0.03,0.010001,0.49995,8.0012,0.29998,5.9998,12.001,104,3.9998,0.080002,0,0,87.694,0.19999,2
Seaweed. kelp. raw,2.7,2.5,30.801,29.412,27.443,6.0554,28,72.998,71.1,0.58591,1.3105,1,17.909,0.070006,0.010001,0.012998,0.031002,0.39005,204.97,1.9003,0.018,0.019002,0.37406,5.9998,0.28999,5.0006,11.001,88.005,5.9998,0.080002,0,0,80.409,0.22998,2
Seaweed. laver. raw,3.5,3.2,43.893,38.413,24.777,3.1008,47,45.993,44.368,0.083701,1.5455,1,10.86,0.010001,0.001,0.002,0.004,0.45996,304.98,2.7,0.012001,0.016001,0.40295,8.0012,0.20998,7.0002,13.998,94.997,3.9998,0.089991,0,0,87.441,0.22998,2
Seaweed. spirulina. dried,3.1,2.8,37.249,33.774,26.484,4.2068,36,57.002,55.076,0.58591,1.3438,1,13.931,0.070006,0.010001,0.013999,0.031002,0.39997,208.03,1.9003,0.018,0.019002,0.38001,5.9998,0.28999,5.0006,11.001,89,5.9998,0.089991,0,0,84.378,0.22998,2
Seaweed. spirulina. raw,4.3,3.6,53.299,43.292,17.762,1.7343,56,32.002,30.175,0.41855,1.4115,1,7.5105,0.050004,0.006001,0.009,0.020003,0.42004,249.99,2.1,0.016001,0.011002,0.36302,5.0006,0.25002,7.0002,11.001,93.995,3.9998,0.089991,0,0,90.761,0.25997,2
Seaweed. wakame. raw,2.4,3.2,33.863,38.068,35.8,7.9008,25,88.005,86.38,0.50221,1.1087,1,11.671,0.059997,0.009,0.012001,0.026999,0.33,637.05,2.1,0.013999,0.020003,0.35299,5.9998,0.27998,5.0006,8.9996,79.997,5.0006,0.070006,0,0,76.651,0.20998,2
Balsam-pear (bitter gourd). leafy tips. cooked. boiled. drained. without salt,2.7,2.7,32.967,32.398,29.437,6.0178,32,72.998,71.26,0.58591,1.1424,1,18.112,0.070006,0.010001,0.013999,0.031002,0.34004,504.04,2.3996,0.015,0.020997,0.34701,5.9998,0.27998,5.0006,8.9996,79.997,5.9998,0.070006,0,0,80.254,0.20998,2
Balsam-pear (bitter gourd). leafy tips. cooked. boiled. drained. with salt,3.3,4,48.11,47.568,30.494,3.6868,42,49.999,48.032,0.25107,1.7134,1,6.2153,0.03,0.004,0.005,0.011002,0.51003,599.91,3.2995,0.011002,0.013999,0.35596,11.001,0.25002,8.0012,13.998,116.01,5.0006,0.13998,0,0,86.159,0.25997,2
Balsam-pear (bitter gourd). leafy tips. raw,3.1,3.6,43.642,43.138,31.157,4.135,35,57.999,56.274,0.58591,1.1424,1,8.0307,0.070006,0.009,0.012001,0.027996,0.34004,428.98,2.5004,0.013999,0.020003,0.36501,7.0002,0.28999,5.0006,8.9996,82,5.9998,0.070006,0,0,84.243,0.20998,2
Balsam-pear (bitter gourd). pods. cooked. boiled. drained. without salt,4.5,4.4,62.649,52.828,17.526,1.3497,51,30.001,28.243,0.58591,1.1763,1,9.8654,0.070006,0.009,0.012998,0.027996,0.35004,440,1.9003,0.015,0.020997,0.37406,7.0002,0.29998,5.0006,8.9996,77.992,3.0001,0.080002,0,0,91.493,0.21997,2
Balsam-pear (bitter gourd). pods. cooked. boiled. drained. with salt,1.7,1.5,13.994,17.614,24.961,19.551,13,329.53,163.65,143.17,22.73,5.6827,20.457,15.907,4.5454,3.1295,0.63034,5.6827,0,1.3638,0.086008,0.072514,1.3481,90.907,1.2273,7.2998,57.577,102.83,181.83,0.60066,5.6827,0,60.125,0.53358,2
Balsam-pear (bitter gourd). pods. raw,1.5,0.7,5.812,8.8448,17.77,24.965,5,320.35,174.22,133.62,12.501,0.78116,26.562,14.846,4.6878,1.7314,0.61069,3.1251,0,0,0.1042,0.088095,0.81876,15.624,1.1249,8.1365,57.103,143.05,156.25,0.39482,0,0,61.134,0.81886,2
Gourd. dishcloth (towelgourd). cooked. boiled. drained. without salt,1.8,1.9,18.368,22.558,28.775,18.28,14,165.02,162.54,1.7575,0.73912,3.2003,38.768,0.20998,0.038994,0.048998,0.055001,0.21997,44.999,0,0,0,0.004,54.007,0.43003,3.9998,3.0001,21.003,3.9998,0.25997,0,0,57.277,0.34004,2
Gourd. dishcloth (towelgourd). cooked. boiled. drained. with salt,1.7,1.7,15.746,20.045,27.139,25.178,12,234.66,176.99,41.327,16.327,2.0408,10.204,4.5924,1.0205,1.7122,1.1957,4.0816,0,3.6733,0.15124,0.065683,0.93553,20.411,1.8366,9.0605,16.074,82.228,275.54,0.62731,0,0,47.22,0.51686,2
Gourd. dishcloth (towelgourd). raw,1.6,0.9,8.1865,10.934,19.311,21.151,11,259.98,155.15,96.815,7.9986,0.79998,14.289,11.001,2.5622,5.8363,2.0553,1.9999,267,0.89991,0.022998,0.029001,0.19999,12.001,0.47993,8.0012,28.997,81.005,246,0.18,0,0,46.2,0.89991,2
Gourd. white-flowered (calabash). cooked. boiled. drained. without salt,1.6,1.8,16.248,22.005,29.429,21.742,16,270.02,149.04,109.81,11.201,1.8046,24.641,12.2,2.9847,5.3136,3.2469,2.7999,409.06,1,0.14799,0.12499,1.276,9.9997,1.8502,8.9996,30.001,76.996,190.99,0.19999,0,0,45.801,0.70001,2
Gourd. white-flowered (calabash). cooked. boiled. drained. with salt,1.5,1.7,13.999,19.999,28.136,21.291,14,315.95,162.28,141.66,12.001,2.6004,13.405,16.097,2.4574,7.448,5.3755,3.0001,172,1.3,0.14098,0.10602,1.4252,21.997,1.2198,9.9997,43.006,65.005,373.99,0.22998,0,0,37.603,1.0999,2
Gourd. white-flowered (calabash). raw,2.1,2.5,26.278,30.344,33.083,12.018,16,115.01,112.88,0.63011,1.4798,0.60003,14.615,0.070006,0.018,0.020997,0.020997,0.36998,204.97,3.5997,0.024996,0.016001,0.13998,11.001,0.23999,7.0002,14.999,105.01,18.001,0.050004,0,0,71.237,0.19999,2
Kanpyo. (dried gourd strips),3.2,3.2,41.176,38.01,27.749,4.1484,42,52.993,48.279,1.4399,3.2805,1.2,9.1512,0.15998,0,0,0,0.82004,208.03,2.7999,0.020003,0.038994,0.36104,11.001,0.33,8.0012,14.999,118,12.001,0.070006,0,0,86.77,0.27998,2
Oil. vegetable. industrial. mid-oleic. sunflower. principal uses frying and salad dressings [NuSun],4.3,3.9,56.368,46.817,18.743,2.532,37,33.005,26.966,3.3476,2.6879,1.0621,6.1081,0.39997,0.71057,0.39314,0.2752,0.79998,1500,26.299,0.03,0.039995,0.29998,8.9996,0.19999,12.001,11.001,103.01,3.0001,0.15519,0,0,90.819,0.49995,2
Oil. vegetable. sunflower. high oleic (70% and over),2.5,3.1,34.09,36.823,34.09,8.1419,27,88.005,67.973,10.622,9.4015,0.60003,11.761,1.1801,0,0.3436,0.98466,2.35,0,17.601,0.029218,0.036988,1.1981,176.02,0.63992,10.354,56.902,189.14,12.001,0.42796,0,0,78.168,1.24,2
Oil. vegetable. sunflower. linoleic (less than 60%),1.5,1.7,13.866,19.806,27.959,45.861,25,390.95,277.23,95.058,18.679,1.0999,28.59,10.561,2.618,6.4041,1.082,4.6698,1028.1,0,0.36595,0.54499,5.0995,11.001,3.8497,12.001,71.009,74.995,334.01,0.35004,0,0,14.432,1.1102,2
Oil. vegetable. sunflower. linoleic. (approx. 65%),1.5,1.5,12.535,17.904,26.217,47.621,22,390.95,283.26,90.732,16.919,0.70001,35.524,10.08,2.6724,5.7322,1.2348,4.2298,679.97,0,0.396,0.35999,4.75,11.001,4.0502,11.001,67.995,71.009,312.02,0.35004,0,0,13.788,1.09,2
Oil. vegetable. sunflower. linoleic. (hydrogenated),1.5,1.8,14.75,21.096,29.133,49.064,26,409.06,291.01,99.271,18.799,1,28.988,11.029,2.6374,6.5498,1.2809,4.6999,1563,0,0.36501,0.41506,5.2492,11.001,3.9196,12.001,75.989,81.005,354,0.38001,-0.098035,0,10.46,1.1102,2
Vinespinach. (basella). raw,1.5,1.6,13.545,19.343,27.537,47.621,21,392.96,281,93.604,18.399,1.0999,31.695,10.399,1.6699,5.7304,3.0001,4.5998,961.97,0,0.28999,0.33,3.8006,27.999,3.5005,15.999,85.004,114.01,422.96,1.2301,0,0,12.501,1.2301,2
Arrowhead. cooked. boiled. drained. without salt,1.5,1.5,12.934,18.47,26.737,48.382,21,392.96,284.36,91.817,16.8,1,35.995,10.201,1.9398,6.6902,1.5801,4.2,961.97,0,0.28999,0.33,3.8497,24.997,3.5005,13.998,79.997,94.997,422.96,1.46,0,0,12.501,1.0999,2
Arrowhead. cooked. boiled. drained. with salt,2,3.4,31.225,40.853,41.298,10.002,42,147,97.439,44.625,4.9383,3.8006,22.366,5.3307,2.6178,1.6135,0.33756,1.4699,43.999,19.702,0.37406,0.19999,1.074,5.9998,0.43003,30.001,39.005,436.06,1.9999,0.27998,0,0,64.984,1.1199,2
Arrowhead. raw,2,1,12.007,12.009,18.343,8.2469,14,227.24,70.713,122.76,33.766,1.2988,3.2469,13.638,5.1955,1.6484,0.677,8.4422,129.85,0.77915,0.045313,0.069771,1.2574,51.948,1.1688,9.669,73.453,148.11,694.77,0.9949,29.221,0,63.639,1.1133,2
Babyfood. apple-banana juice,2,1,12.114,12.142,18.462,8.8508,15,246,76.184,128.57,41.261,1.5872,3.9678,14.284,5.5563,0.65504,0.70753,10.316,158.73,0.95231,0.14357,0.084158,1.0101,47.617,1.4284,10.004,84.252,155.5,690.54,0.70028,31.746,0,69.888,0.77336,2
Babyfood. banana apple dessert. strained,1.8,1.9,18.203,22.322,28.57,12.072,17,202.03,99.495,86.38,16.16,2.5254,1.01,9.5968,2.5254,0.33559,0.7117,4.0398,202.03,9.0896,0.084519,0.026622,0.66988,20.202,0.3636,10.791,35.237,140.75,500.01,0.50741,5.0506,0,63.896,1.5634,2
Babyfood. banana juice with low fat yogurt,1.8,2,19.216,23.785,29.832,13.679,18,217.66,114.16,84.704,18.824,2.941,1.1763,9.4106,2.6467,1.9292,0.6388,4.7059,235.26,10.588,0.22219,0.29831,3.8381,11.765,0.42357,13.486,99.435,171.55,458.77,1.4008,5.8815,0,27.598,1.4406,2
Babyfood. banana no tapioca. strained,1.9,0.9,10.351,10.839,17.809,9.1453,13,259.73,74.682,146.1,38.955,0.64925,5.8438,16.232,6.4932,3.2561,1.2594,9.7397,194.83,0.77915,0.15964,0.22614,3.5104,64.942,1.1688,15.394,109.41,121.7,331.12,0.86644,35.719,0,37.041,1.3649,2
Babyfood. cereal. mixed. with applesauce and bananas. junior,1.9,0.8,9.0843,9.26,16.373,10.201,10,242.86,80.022,128.57,34.28,0.71434,5.7138,14.284,5.7138,4.441,1.6419,8.5707,71.421,0.85725,0.09547,0.088537,1.8831,14.284,1.2859,14.259,81.846,130.97,300.03,1.2225,28.571,0,47.331,1.0365,2
Babyfood. cereal. mixed. with applesauce and bananas. strained,2.2,1.1,14.37,13.179,18.249,7.1929,17,201.45,37.41,116.57,47.479,0.71941,4.3163,12.951,5.036,1.4666,0.72846,11.871,107.92,1.295,0.12232,0.094341,1.7428,53.955,1.6187,17.522,74.589,163.85,266.15,0.98916,35.972,0,62.569,0.81971,2
Babyfood. cereal. mixed. with bananas. dry,2.2,2.8,29.41,33.828,34.825,8.5753,31,127.91,70.918,38.371,18.607,1.9379,1.5504,4.2639,1.1628,1.9569,0.29037,4.6518,193.77,9.3024,0.07415,0.091012,1.5316,58.148,1.3953,7.2909,84.731,136.44,205.44,0.64945,9.6898,0,59.459,0.77611,2
Babyfood. cereal. mixed. with bananas. prepared with whole milk,1.9,2.2,21.516,25.87,30.955,6.7015,22,182.3,62.507,103.14,16.666,1.5624,0.52081,11.459,3.6463,3.3659,1.0458,4.1664,390.57,9.3744,0.12253,0.1793,2.5941,52.082,0.74989,9.5574,105.01,85.379,421.87,1.2019,13.022,0,41.786,1.379,2
Babyfood. cereal. oatmeal. with applesauce and bananas. junior,2.4,2,24.359,23.997,25.895,3.8889,29,119.26,24.742,71.558,22.965,0.88328,0.88328,7.95,3.5332,3.997,1.0183,5.7414,552.19,3.9755,0.19723,0.15767,1.7915,17.669,1.1927,21.405,86.788,301.19,622.88,0.33354,13.25,0,61.654,1.5256,2
Babyfood. cereal. oatmeal. with applesauce and bananas. strained,2.6,3,34.23,35.563,32.369,6.6752,55,97.002,67.995,8.9996,20.002,4.2,5.2492,1,0.145,0.076989,0.55508,5.0006,12.001,1.7003,0.039995,0.15001,0.35999,31.001,1.8598,44.999,154.01,450.01,725.09,1.9999,0,0,75.502,1.6,2
Babyfood. cereal. oatmeal. with bananas. dry,2.7,28.609,32.545,33.911,0.32,33,47.216,46.798,74.323,25.689,19.851,2.1373,4.7905,3.3637,1.092,3.4733,0.43395,5.6236,464.36,-7.312,0.039848,0.083433,1.5733,1.1009,1.2261,9.0216,45.977,379.19,469.22,0.43239,12.381,0,56.295,1.4344,2
Babyfood. cereal. oatmeal. with bananas. prepared with whole milk,2.7,2.7,33.046,32.511,29.51,3.8572,40,87.977,30.565,33.335,24.075,2.3148,2.3148,3.7041,1.389,1.8197,0.61701,6.0191,578.71,16.666,0.050226,0.13524,1.0904,37.039,0.6666,6.3112,43.246,186.48,481.41,0.85471,11.574,0,74.646,1.6296,2
Babyfood. cereal. rice. with applesauce and bananas. strained,2.7,1.6,22.895,19.385,20.045,4.3195,26,94.997,41.089,29.428,24.481,3.2995,4.4903,3.27,1.4289,0.74968,0.62068,6.1205,203.99,0.49995,0.067379,0.10944,2.0668,15.999,0.7299,6.07,56.832,172.24,355.03,0.79403,12.001,0,78.697,1.7101,2
Babyfood. cereal. rice. with bananas. dry,2.7,1.6,22.895,19.385,20.045,4.3195,26,94.997,41.089,29.428,24.481,3.2995,4.4903,3.27,1.4289,1.3363,0.67516,6.1205,203.99,0.49995,0.072142,0.16731,0.84994,15.999,0.7299,8.3584,22.723,80.832,355.03,0.50384,12.001,0,78.697,1.7101,2
Babyfood. cereal. rice. with bananas. prepared with whole milk,2.9,2.2,30.285,26.757,23.874,4.7736,30,81.005,43.9,10.98,26.122,2.8997,3.6698,1.2198,0.40804,3.2285,1.0494,6.5309,305.96,0.49995,0.084338,0.15577,1.9704,15.999,0.7299,12.882,38.252,183.33,355.03,0.66444,5.9998,0,79.997,1.2198,2
